,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
5,K. Irving | T. Mozgov,CLE,2014-15,42,922.9,1835,1820,95.0,+3.5,-2.8,+.054,+4.5,+9.9,+.025,+.081,+1.9,+2.8,-.010,+13.4,"('irvinky01', 'mozgoti01')"
6,L. James | J. Smith,CLE,2014-15,40,932.4,1831,1824,94.1,+3.3,-1.2,+.043,+4.7,+11.4,+.008,+.070,+2.2,+2.4,+.017,+13.4,"('jamesle01', 'smithjr01')"
7,B. Bass | G. Wallace,BOS,2014-15,18,113.8,226,235,97.2,+5.1,-1.4,+.066,+2.1,-0.8,+.100,+.078,+1.0,+1.2,+.005,+13.3,"('bassbr01', 'wallage01')"
8,T. Allen | K. Koufos,MEM,2014-15,57,483.9,927,946,92.9,+5.5,+5.6,+.037,-2.1,-7.3,+.010,+.023,+4.4,+5.2,+.023,+13.3,"('allento01', 'koufoko01')"
9,M. Ginóbili | D. Green,SAS,2014-15,62,555.9,1111,1106,95.7,+3.3,-0.3,+.041,+4.3,+6.3,+.076,+.066,+2.3,+3.4,-.006,+13.2,"('ginobma01', 'greenda02')"
10,D. Lillard | T. Robinson,POR,2014-15,28,252.5,507,504,96.1,+2.3,+1.5,+.019,+5.1,+10.1,+.054,+.047,+3.5,+3.4,+.040,+13.2,"('lillada01', 'robinth01')"
11,M. Smart | I. Thomas,BOS,2014-15,21,226.8,447,446,94.5,+4.8,+12.8,-.006,+4.7,+13.1,+.018,+.012,-1.2,-3.0,+.045,+13.2,"('smartma01', 'thomais02')"
12,J. Anthony | K. Caldwell-Pope,DET,2014-15,36,195.1,374,375,92.1,+5.4,+4.0,+.043,+5.4,+5.7,+.139,+.071,-3.2,-4.5,+.010,+13.1,"('anthojo01', 'caldwke01')"
13,I. Canaan | D. Howard,HOU,2014-15,11,151.8,303,297,94.9,+0.9,-10.4,+.061,+4.5,+6.5,+.099,+.093,+6.7,+9.9,-.003,+13.1,"('canaais01', 'howardw01')"
14,D. Green | M. Speights,GSW,2014-15,67,539.4,1144,1135,101.4,+4.9,+0.6,+.052,+4.0,+6.9,+.062,+.074,-0.6,-3.4,+.080,+13.1,"('greendr01', 'speigma01')"
